,Age,Height,Weight,Daily Calorie Target,Protein,Carbohydrates,Fat
count,498.0,498.0,498.0,498.0,498.0,498.0,498.0
mean,41.21084337349398,172.63654618473896,76.28714859437751,2124.4979919678717,110.03012048192771,245.2710843373494,61.34538152610442
std,15.151207125364646,9.686973440943708,14.692415661484226,482.07533515893084,36.95324546624387,65.54581857928304,16.179239646169695
min,19.0,155.0,48.0,1200.0,50.0,120.0,30.0
25%,28.0,165.0,65.0,1800.0,80.0,200.0,50.0
50%,38.0,170.0,75.0,2000.0,100.0,227.5,60.0
75%,55.0,180.0,90.0,2400.0,137.5,300.0,70.0
max,72.0,190.0,110.0,3500.0,220.0,400.0,120.0
